Date,KPN Close,AKZA Close,RAND Close,VPK Close,HEIA Close,Volume,%K 14day,%D 3,slow %D 3,RSI,ROC,momentum,OSCP,disparity 3,disparity 14,low 14,max 14,RS,ups,downs,ma 3,ma 14,output
13/10/2010,6.92377,49.387501,36.445,36.150002,38.035,9015016,55.76984077,34.88640613,46.93820425,54.14877986,100.0876012,-0.01516,-0.004512545,100.4250268,99.97185439,6.83586,6.99349,1.180967043,0.08791,0,6.894466667,6.925719286,6.91468
14/10/2010,6.91468,49.3256,36.435001,36.349998,38.215,10429677,50.00317199,35.25767092,35.48050456,49.76754177,99.26028644,-0.00909,-0.004918948,100.3372785,99.8437246,6.83586,6.99349,0.9907447,0,0.00909,6.891436667,6.925502857,6.88739
15/10/2010,6.88739,49.713699,37.174999,36.48,38.299999,12007277,32.6904777,46.15449682,38.76619129,43.7496035,98.78260595,0.05153,-0.001627129,99.69279894,99.53058593,6.83586,6.99349,0.777765247,0,0.02729,6.908613333,6.919872857,7.0329
18/10/2010,7.0329,50.270599,37.25,36.290001,38.290001,16030614,100,60.89788323,47.43668365,53.93716638,101.7990594,0.10913,0.003001996,101.2658046,101.5698041,6.83586,7.0329,1.170947641,0.14551,0,6.94499,6.924203571,7.00562
19/10/2010,7.00562,50.0513,36.299999,36.369999,38.415001,10321442,86.15509541,72.94852437,60.00030147,56.61200398,101.8510388,0.09094,0.006372764,100.4346286,101.0746749,6.83586,7.0329,1.304784945,0,0.02728,6.975303333,6.931132857,6.98743
20/10/2010,6.98743,50.220001,36.43,36.369999,37.814999,5744012,76.92346732,87.69285424,73.84642061,57.56303103,100.4794301,0.10004,0.010047971,99.69723128,100.6989861,6.83586,7.0329,1.356435967,0,0.01819,7.00865,6.938927857,7.00259
21/10/2010,7.00259,48.375,36.470001,36.584999,38.044998,8717450,84.61733658,82.56529977,81.06889279,53.66957206,101.6277649,-0.03031,0.008088642,100.0577739,100.8671054,6.83586,7.0329,1.158408727,0.01516,0,6.998546667,6.942392143,7.00259
22/10/2010,7.00259,48.583099,36.185001,36.535,37.98,5429315,84.61733658,82.05271349,84.1036225,59.39080344,101.0499536,-0.00303,0.006781347,100.0722159,100.7508403,6.83586,7.0329,1.462496392,0,0,6.997536667,6.950403571,6.98743
25/10/2010,6.98743,48.3862,36.099998,36.700001,38.25,7770392,76.92346732,82.05271349,82.22357559,55.02670437,100.875296,0,0.006185736,99.85556822,100.4732484,6.83586,7.0329,1.223541739,0,0.01516,6.997536667,6.954517857,7.12081
26/10/2010,7.12081,48.127499,35.465,36.404999,38.014999,18577880,100,87.18026797,83.76189832,63.7930299,101.8205503,0.11822,0.009839828,101.1918053,102.1875153,6.83586,7.12081,1.761899152,0.13338,0,7.036943333,6.968375714,7.12385
