KPN Close,KPN Trade Volume,10day MA,1 Week momentum,GTO Close,ATC Close,output
2.369,21105660,2.5093,-0.218,73.949997,1.70223,1
2.37,16019469,2.4802,-0.224,74.330002,1.70371,-1
2.316,20717530,2.448,-0.217,74,1.67721,1
2.41,23255178,2.4303,-0.051,74.120003,1.67017,-1
2.391,20248309,2.41,-0.026,73.599998,1.65478,-1
2.372,27473174,2.3939,-0.081,73.720001,1.63755,1
2.398,13898373,2.3876,0.018,73.410004,1.63922,1
2.399,14891807,2.3858,0.03,74.150002,1.64941,-1
2.369,15481034,2.3774,-0.001,74.019997,1.66034,1
2.387,12719499,2.3781,0.071,74.75,1.642,-1
2.36,13644117,2.3772,-0.05,72.650002,1.64422,-1
2.315,16862114,2.3717,-0.076,71.510002,1.60697,-1
2.282,19811570,2.3683,-0.09,73.010002,1.61142,1
2.388,33030027,2.3661,-0.01,72.800003,1.58714,-1
2.384,14952051,2.3654,-0.015,72.959999,1.58844,-1
2.35,14112509,2.3632,-0.019,72.290001,1.56472,1
2.377,13469997,2.3611,-0.01,70.400002,1.54007,1
2.45,19144730,2.3662,0.09,71.300003,1.56564,1
2.488,19482511,2.3781,0.173,70.519997,1.5712,1
2.525,17039024,2.3919,0.243,69.269997,1.59381,-1
2.522,13741237,2.4081,0.134,72.5,1.64978,1
2.536,10953050,2.4302,0.152,73.190002,1.70501,-1
2.478,9989003,2.4498,0.128,72.440002,1.73837,1
2.508,8515535,2.4618,0.131,72.209999,1.70501,-1
2.472,9247950,2.4706,0.022,73.870003,1.66794,-1
2.444,10953094,2.48,-0.044,73.449997,1.67814,1
2.453,5634831,2.4876,-0.072,74.82,1.68648,1
2.483,5895621,2.4909,-0.039,75.349998,1.70871,1
2.494,6668919,2.4915,-0.042,74.879997,1.73114,1
2.513,6379093,2.4903,0.035,75.290001,1.74207,-1
2.494,7055559,2.4875,-0.014,76.410004,1.748,1
2.518,3261598,2.4857,0.046,77.400002,1.76061,-1
2.497,7479778,2.4876,0.053,77.730003,1.76135,1
2.517,8427813,2.4885,0.064,77.639999,1.76302,-1
2.484,6567106,2.4897,0.001,75.769997,1.76617,1
2.525,13406943,2.4978,0.031,74.510002,1.80138,1
2.545,10551869,2.507,0.032,74.349998,1.76394,-1
2.545,10075322,2.5132,0.051,74.050003,1.74207,1
2.567,10169615,2.5205,0.049,73.980003,1.73744,1
2.581,10726326,2.5273,0.084,73.830002,1.73837,-1
2.557,12824053,2.5336,0.04,73.110001,1.72873,1
2.561,6568396,2.5379,0.077,73.160004,1.7013,-1
2.561,10539093,2.5443,0.036,72.75,1.67498,-1
2.527,11599174,2.5453,-0.018,73.559998,1.66053,1
2.531,5727464,2.55,-0.014,73.419998,1.6457,-1
2.501,5620843,2.5476,-0.066,74.239998,1.67739,-1
2.445,7598179,2.5376,-0.136,73.230003,1.67165,1
2.455,10413613,2.5286,-0.102,72.25,1.64941,1
2.478,10565932,2.5197,-0.083,71.919998,1.65497,-1
2.462,9499757,2.5078,-0.099,71.989998,1.64607,1
2.497,17574382,2.5018,-0.03,71.25,1.59974,-1
2.495,7533509,2.4952,-0.036,70.940002,1.58547,-1
2.44,8599538,2.4831,-0.061,71.32,1.5675,-1
2.429,11228123,2.4733,-0.016,71.879997,1.56638,1
2.43,11618198,2.4632,-0.025,73.510002,1.56305,1
2.485,13118234,2.4616,0.007,72.779999,1.54007,1
2.521,10780304,2.4692,0.059,72.599998,1.55934,1
2.537,11049673,2.4774,0.04,72.68,1.55415,-1
2.49,10638293,2.4786,-0.005,71.910004,1.53173,-1
2.415,11942568,2.4739,-0.025,70.669998,1.5119,1
2.485,15720404,2.4727,0.056,70.660004,1.54785,1
2.509,8719350,2.4741,0.079,70.139999,1.54748,-1
2.472,7542675,2.4773,-0.013,69.449997,1.59956,-1
